No -class -x_min -x_max -y_min -y_max -x_moy -y_moy -x_ecart -y_ecart -red -blue -green
0 Raphia 2154 2219 2058 2120 2184 2093 50.3 45.0 162 046 000 
1 Raphia 367 427 1875 1917 398 1895 22.5 50.8 103 093 000 
2 Raphia 2554 2615 1859 1922 2583 1886 22.3 27.2 044 140 000 
3 Raphia 3540 3605 1858 1906 3568 1883 77.1 18.6 241 186 000 
4 Raphia 0 29 1667 1714 12 1693 7.2 39.7 182 233 000 
5 Raphia 5527 5585 881 936 5553 907 69.1 40.9 202 164 001 
6 Raphia 3936 4001 667 734 3964 700 85.1 24.8 143 211 001 
7 Raphia 5724 5759 273 326 5746 310 80.6 11.4 084 002 002 
8 Coco 652 898 6170 6359 764 6286 59.3 80.5 134 154 002 
9 Coco 1699 1959 5513 5778 1822 5654 76.2 107.7 016 248 002 
10 Coco 836 1096 5317 5556 957 5436 70.0 109.2 095 132 003 
11 Coco 3419 3667 5721 5974 3541 5844 69.4 51.6 066 144 003 
12 Coco 3690 3937 5370 5618 3820 5491 66.1 52.0 007 191 003 
13 Coco 4635 4873 5380 5636 4762 5510 91.0 115.6 204 237 003 
14 Coco 1895 2141 4519 4778 2020 4652 80.0 71.9 174 016 004 
15 Coco 445 694 5115 5369 570 5248 55.6 104.3 145 028 004 
16 Coco 0 90 5003 5232 26 5104 21.4 92.4 086 075 004 
17 Coco 0 144 3723 3977 55 3855 34.9 82.1 056 110 004 
18 Coco 309 553 4759 4995 429 4870 53.6 75.2 027 122 004 
19 Coco 4623 4897 3704 3964 4763 3855 95.4 93.1 253 156 004 
20 Raphia 5313 5405 6024 6100 5360 6057 90.5 54.9 223 191 004 
21 Coco 4415 4676 3318 3569 4551 3442 104.8 55.0 194 203 004 
22 Raphia 2129 2241 5810 5911 2185 5854 59.2 49.6 164 238 004 
23 Coco 1625 1882 3176 3422 1735 3284 80.5 95.9 135 250 004 
24 Coco 1479 1721 2992 3237 1607 3104 68.3 80.4 076 041 005 
25 Coco 2037 2282 2583 2839 2151 2710 67.8 84.2 017 088 005 
