No -class -x_min -x_max -y_min -y_max -x_moy -y_moy -x_ecart -y_ecart -red -blue -green
0 Coco 1211 1435 2562 2774 1319 2665 62.8 81.1 192 011 000 
1 Raphia 8348 8577 15606 15831 8461 15732 108.9 100.4 162 046 000 
2 Coco 12593 12803 2284 2537 12711 2390 93.8 65.7 133 058 000 
3 Raphia 12402 12666 15656 15899 12535 15795 128.6 148.4 103 093 000 
4 Coco 10555 10767 2029 2286 10667 2148 110.0 71.5 074 105 000 
5 Raphia 13706 13975 15710 15899 13842 15822 98.0 161.2 044 140 000 
6 Raphia 3964 4221 15065 15319 4078 15188 57.1 143.9 182 233 000 
7 Coco 2348 2600 1850 2066 2458 1964 67.7 73.9 153 245 000 
8 Raphia 4957 5208 15054 15311 5085 15186 81.4 76.2 123 024 001 
9 Coco 13061 13349 1353 1569 13230 1464 129.7 61.1 094 036 001 
10 Raphia 12407 12669 14863 15137 12546 14996 160.0 152.6 064 071 001 
11 Coco 0 204 1119 1342 89 1234 47.6 50.8 035 083 001 
12 Raphia 2549 2817 14545 14813 2692 14683 64.7 133.7 005 118 001 
13 Coco 4037 4242 1052 1284 4131 1165 80.2 56.3 232 129 001 
14 Raphia 4758 4998 14305 14542 4868 14423 89.1 52.2 202 164 001 
15 Coco 4698 4872 1130 1335 4786 1237 43.9 57.9 173 176 001 
16 Coco 6417 6595 15819 15899 6521 15872 106.5 110.6 144 188 001 
17 Raphia 4446 4667 14052 14292 4554 14176 83.4 128.7 143 211 001 
18 Coco 6010 6198 15043 15238 6110 15138 55.9 176.4 085 235 001 
19 Raphia 376 616 13797 14057 491 13923 55.8 154.5 084 002 002 
20 Coco 9790 9984 541 787 9880 649 48.4 54.3 055 014 002 
21 Coco 13241 13463 15132 15353 13346 15243 163.8 98.6 026 026 002 
22 Raphia 57 305 13547 13800 177 13677 49.5 162.4 025 049 002 
23 Coco 13744 13968 362 587 13852 479 146.8 56.8 252 060 002 
24 Raphia 3293 3541 13552 13801 3410 13676 92.0 132.6 222 095 002 
25 Coco 8887 9064 0 104 8975 36 120.5 22.6 193 107 002 
26 Coco 14386 14399 14712 14844 14395 14768 165.5 173.7 164 119 002 
27 Raphia 4728 4974 13295 13540 4837 13416 100.3 142.2 163 142 002 
28 Coco 787 1006 14259 14472 901 14378 53.0 152.3 105 166 002 
29 Coco 2907 3106 15582 15791 3010 15684 71.2 179.2 075 201 002 
30 Coco 11472 11680 14335 14563 11576 14448 122.7 59.3 046 213 002 
31 Coco 6518 6728 15325 15556 6619 15438 77.0 69.7 016 248 002 
32 Coco 968 1169 14083 14288 1075 14183 54.9 139.6 243 003 003 
33 Raphia 9630 9863 13055 13298 9745 13175 51.5 136.9 242 026 003 
34 Coco 12564 12788 15424 15661 12673 15540 139.5 148.9 213 038 003 
35 Coco 2682 2894 14062 14269 2790 14162 56.9 118.5 184 050 003 
36 Raphia 2592 2822 12796 13032 2700 12927 79.2 158.0 183 073 003 
37 Coco 8226 8421 15036 15254 8321 15145 63.0 79.6 154 085 003 
38 Coco 4915 5128 14060 14278 5022 14167 94.4 167.8 125 097 003 
39 Raphia 4568 4808 12786 13036 4699 12915 88.0 161.3 124 120 003 
40 Coco 9438 9634 14088 14311 9530 14198 108.5 166.4 066 144 003 
41 Raphia 7168 7382 12315 12544 7287 12434 119.5 122.2 065 167 003 
42 Coco 0 20 14304 14429 5 14332 5.6 167.0 036 179 003 
43 Coco 3146 3355 13761 13973 3248 13870 53.2 138.2 007 191 003 
44 Raphia 972 1212 11568 11800 1091 11691 53.2 60.5 006 214 003 
45 Coco 6224 6410 14081 14274 6316 14176 84.0 67.2 233 225 003 
46 Coco 7327 7515 13818 14025 7428 13916 54.8 109.2 204 237 003 
47 Raphia 2399 2637 11304 11542 2528 11425 75.2 143.2 203 004 004 
48 Coco 10660 10847 14090 14285 10755 14186 81.9 61.0 174 016 004 
49 Coco 7842 8038 13787 13988 7944 13883 46.8 148.1 145 028 004 
50 Raphia 8360 8606 11303 11560 8498 11438 75.5 131.7 144 051 004 
51 Coco 13217 13418 14137 14360 13309 14246 168.5 74.0 115 063 004 
52 Coco 8587 8783 13795 14008 8680 13905 127.0 137.1 086 075 004 
53 Raphia 1926 2169 10574 10804 2048 10691 61.6 149.3 085 098 004 
54 Coco 10344 10528 13775 13966 10438 13871 126.1 163.0 056 110 004 
55 Coco 2051 2259 13547 13758 2154 13650 70.5 88.5 027 122 004 
56 Raphia 8159 8402 10554 10808 8282 10682 67.0 53.6 026 145 004 
57 Coco 12122 12345 13802 14005 12233 13909 86.9 75.4 253 156 004 
58 Coco 11990 12174 13585 13776 12086 13677 120.9 151.5 224 168 004 
59 Raphia 4839 5104 10309 10563 4970 10440 89.5 123.1 223 191 004 
60 Coco 5094 5278 12832 13032 5187 12930 54.9 96.1 194 203 004 
61 Coco 1003 1210 13274 13480 1108 13378 48.0 156.8 165 215 004 
62 Coco 7995 8184 12589 12794 8089 12691 72.3 89.3 135 250 004 
63 Coco 10761 10948 12565 12753 10854 12653 79.4 153.8 076 041 005 
64 Coco 9038 9236 12794 13007 9134 12905 53.0 114.7 047 053 005 
65 Raphia 2842 3063 9320 9548 2948 9434 78.3 98.5 046 076 005 
66 Coco 7956 8134 12285 12478 8040 12376 94.6 55.9 017 088 005 
67 Coco 14089 14302 12811 13025 14187 12912 155.5 136.4 244 099 005 
68 Raphia 11529 11775 9326 9557 11654 9442 107.9 69.6 243 122 005 
69 Coco 10633 10840 12280 12489 10737 12377 148.9 80.8 214 134 005 
70 Coco 2131 2340 12082 12299 2238 12190 76.6 73.3 185 146 005 
71 Raphia 6994 7222 9069 9306 7106 9191 92.2 127.5 184 169 005 
72 Coco 13685 13890 12297 12500 13784 12397 126.8 112.3 155 181 005 
73 Coco 6365 6553 12086 12285 6460 12186 77.2 159.6 126 193 005 
74 Raphia 3177 3444 8815 9068 3308 8943 74.6 124.0 125 216 005 
75 Coco 7883 8086 12090 12303 7979 12195 102.6 63.8 096 228 005 
76 Coco 10950 11158 11532 11735 11048 11621 135.8 63.5 067 240 005 
77 Raphia 8182 8414 8817 9061 8283 8936 129.0 76.4 066 007 006 
78 Coco 12836 13041 12027 12233 12925 12120 160.3 102.7 037 019 006 
79 Coco 13902 14093 11595 11780 14004 11688 80.2 85.8 008 031 006 
80 Raphia 594 860 8566 8810 735 8688 56.5 137.0 007 054 006 
81 Coco 5721 5910 11542 11734 5815 11635 87.0 107.6 234 065 006 
82 Coco 1721 1928 11339 11547 1832 11442 68.3 126.0 205 077 006 
83 Raphia 9081 9309 8581 8811 9205 8699 130.4 118.0 204 100 006 
84 Coco 11378 11558 11349 11535 11463 11440 137.3 85.1 146 124 006 
85 Raphia 12741 12985 8344 8566 12864 8452 114.0 110.3 145 147 006 
86 Coco 8661 8853 11292 11483 8760 11381 70.7 134.9 116 159 006 
87 Coco 7712 7903 10594 10791 7816 10682 80.7 114.6 087 171 006 
88 Raphia 199 452 8068 8318 326 8195 50.1 82.3 086 194 006 
89 Coco 10899 11096 11314 11500 10997 11407 150.7 68.4 057 206 006 
90 Coco 4037 4235 9811 9998 4137 9907 69.2 77.3 028 218 006 
91 Raphia 11440 11658 8081 8313 11551 8196 106.4 121.0 027 241 006 
92 Coco 13820 14031 11348 11547 13930 11445 124.6 73.9 254 252 006 
93 Coco 6499 6694 9806 10001 6598 9896 100.8 127.4 225 008 007 
94 Coco 11154 11361 9811 10010 11253 9903 127.6 145.5 166 055 007 
95 Raphia 6892 7111 7828 8056 7000 7941 57.3 98.5 165 078 007 
96 Coco 7752 7932 9130 9315 7848 9225 83.9 59.6 107 102 007 
97 Raphia 4494 4734 7319 7559 4620 7440 106.4 96.8 106 125 007 
98 Coco 3925 4135 10344 10554 4035 10450 93.6 150.0 077 137 007 
99 Coco 10550 10748 8597 8796 10651 8697 62.2 134.8 048 149 007 
100 Raphia 8248 8469 7336 7551 8356 7454 136.2 72.1 047 172 007 
101 Coco 14021 14237 10066 10269 14126 10166 142.8 93.3 018 184 007 
102 Coco 10753 10948 7345 7529 10851 7438 68.4 98.0 245 195 007 
103 Raphia 3597 3843 6833 7072 3729 6954 80.8 57.5 244 218 007 
104 Coco 4368 4549 6878 7049 4460 6962 57.7 60.7 186 242 007 
105 Raphia 4612 4847 6828 7070 4725 6947 74.5 122.1 185 009 008 
106 Coco 516 718 9812 9992 618 9908 51.5 105.4 156 021 008 
107 Coco 4887 5076 6904 7094 4989 7001 50.5 68.3 127 033 008 
108 Raphia 3317 3569 5832 6067 3442 5946 89.5 102.7 126 056 008 
109 Coco 790 987 9818 10011 891 9914 58.7 130.1 097 068 008 
110 Coco 7160 7352 6863 7059 7252 6955 124.9 71.3 068 080 008 
111 Raphia 5564 5783 5844 6073 5685 5960 115.6 100.2 067 103 008 
112 Coco 11329 11516 9591 9779 11425 9690 44.3 113.8 038 115 008 
113 Coco 11297 11506 6879 7076 11401 6971 136.6 78.5 009 127 008 
114 Raphia 10702 10951 5600 5843 10831 5705 144.0 98.3 008 150 008 
115 Coco 897 1115 9357 9546 1007 9445 60.3 52.1 235 161 008 
116 Coco 12078 12286 6909 7100 12179 6996 106.8 124.8 206 173 008 
117 Raphia 13448 13713 5584 5837 13588 5710 108.3 82.6 205 196 008 
118 Coco 2115 2321 9381 9579 2224 9479 48.2 104.7 176 208 008 
119 Raphia 8416 8651 5358 5590 8537 5458 132.2 95.4 146 243 008 
120 Coco 5053 5247 6572 6769 5151 6673 105.0 98.1 088 011 009 
121 Raphia 4532 4770 4824 5069 4645 4945 91.7 52.4 087 034 009 
122 Coco 8950 9152 8857 9055 9055 8951 84.0 43.6 058 046 009 
123 Coco 5830 6004 6649 6831 5914 6738 74.9 108.7 029 058 009 
124 Raphia 10023 10256 4855 5081 10137 4962 96.7 86.9 028 081 009 
125 Coco 11667 11863 8825 9008 11762 8910 104.0 81.6 255 092 009 
126 Coco 32 250 6377 6570 143 6469 46.7 99.6 226 104 009 
127 Raphia 4554 4808 4083 4328 4680 4204 76.8 58.1 225 127 009 
128 Coco 432 633 8627 8826 534 8728 49.9 102.6 196 139 009 
129 Coco 1736 1940 6347 6536 1837 6439 69.7 68.4 167 151 009 
130 Coco 5837 6043 8330 8522 5940 8430 91.3 87.8 137 186 009 
131 Coco 3460 3679 6338 6546 3567 6443 52.9 79.5 108 198 009 
132 Coco 2232 2421 7855 8040 2325 7944 48.4 61.1 078 233 009 
